817.87,384.28,425.78,-8.06,-13.40,-32.92
1118.65,-65.92,780.27,-29.66,-22.53,-33.70
1038.57,316.89,1047.85,-46.21,-15.29,-39.27
630.86,-112.30,384.77,-57.71,-10.49,-20.47
884.28,648.44,49.32,-10.46,-2.08,-6.56
955.08,-455.08,630.86,8.01,-0.02,13.31
1135.25,5.37,978.03,-12.89,-41.63,-2.84
986.82,-345.70,-359.86,-13.60,-65.60,41.85
1510.25,-15.14,1053.71,-23.73,-80.96,68.21
1612.79,-307.62,1353.52,2.23,-40.83,26.88
1296.39,211.43,1325.20,-24.29,-40.37,35.49
755.37,-890.62,1999.94,-45.07,-37.18,31.90
1009.28,145.51,1113.77,15.83,7.82,-16.18
723.63,261.23,633.79,-2.73,2.46,-12.36
897.95,2.93,402.83,-18.37,4.09,4.88
926.27,-85.45,364.26,-36.54,-21.76,18.94
962.89,-129.39,282.23,-5.85,-25.50,2.03
1193.36,19.53,665.53,6.02,12.86,-5.76
