692.87,-4.88,230.96,0.15,-24.40,-5.21
1083.98,254.39,458.50,-46.22,29.92,12.18
829.10,-846.19,106.45,26.11,5.41,-3.07
1697.75,-213.38,1034.18,-8.28,-29.60,55.16
1443.85,437.01,292.97,49.39,-24.94,47.79
1537.60,1340.82,1258.79,71.31,-28.32,42.51
-87.89,-189.45,-1421.88,43.31,-44.75,50.90
286.13,-134.77,-490.72,50.27,-47.35,48.60
1965.82,1223.14,1999.94,47.98,-25.26,9.15
1599.61,1230.96,1999.94,-12.17,-42.63,-16.12
879.88,1341.31,1423.34,-25.82,-80.29,13.27
812.50,648.44,487.30,-56.72,-40.11,-44.24
824.71,-208.50,1661.13,-55.72,-9.56,-45.07
178.71,-1647.46,1030.27,-82.47,21.63,-51.47
943.85,-1614.75,87.40,-67.73,26.14,-15.87
1082.52,-689.94,627.93,18.90,45.50,-23.05
1555.18,-858.89,-339.84,52.36,34.36,6.22
1121.58,-47.85,139.65,65.59,6.48,58.95
1390.14,-51.27,481.45,74.37,-1.72,46.91
265.14,1061.04,-245.61,76.03,-27.75,53.44
1008.79,1386.72,-205.08,46.12,-50.80,36.37
900.39,639.16,198.24,1.27,-26.95,6.24
1443.85,393.07,393.55,-73.33,112.37,-4.21
1091.31,67.38,388.67,-66.39,96.89,-12.29
1022.95,-56.15,492.19,-93.46,95.47,12.40
