926.27,92.29,426.76,-3.06,-4.05,-4.05
992.19,-42.97,257.81,-21.81,9.70,0.92
955.57,212.89,185.06,-13.50,6.37,-14.09
1021.97,-59.08,340.82,-31.60,-9.12,-44.93
1181.64,-478.52,647.95,-61.66,-19.31,-37.59
949.22,279.79,-1400.39,-43.72,-14.24,-36.79
268.07,75.68,-2000.00,-35.04,-45.35,2.68
762.21,-936.52,-617.19,-19.77,-49.27,30.38
932.13,-74.22,825.20,-0.57,-34.10,49.81
1112.30,-135.25,434.08,39.79,-28.00,38.60
965.33,255.37,439.45,33.56,-53.41,45.89
637.21,76.17,50.78,25.66,-15.08,28.08
1084.96,515.62,884.77,13.15,-29.18,16.34
1018.55,354.49,662.11,-32.72,-4.08,-44.43
1076.66,1222.66,0.98,-82.87,-1.47,-78.15
1724.12,-642.09,1078.61,-96.45,-3.93,-76.13
-84.96,564.45,-847.66,-52.16,16.08,-103.43
1137.70,-933.59,7.32,-80.79,2.41,-8.26
970.21,-202.64,216.31,-46.15,-0.21,32.30
994.63,-27.83,274.41,30.59,-7.72,-33.69
949.22,89.36,215.82,31.18,-18.24,-27.41
975.59,135.25,192.87,-10.98,-15.54,8.04
