1480.47,233.40,631.84,1.54,3.86,-28.25
973.63,149.41,436.52,-12.60,11.45,-26.85
533.20,650.39,-205.57,-11.66,2.90,-36.97
972.17,47.36,229.98,-22.14,5.43,-19.12
1245.61,-700.68,739.75,-41.91,-9.93,-14.93
970.21,-549.32,474.61,-32.98,-23.78,-12.23
1094.24,-29.30,253.91,-30.92,-25.12,9.85
945.31,-181.64,427.73,-29.48,-32.46,12.69
1322.27,91.31,1085.45,-15.67,-19.08,10.63
1031.74,189.45,378.91,0.53,-16.03,27.98
1266.60,1207.52,774.90,19.37,-8.79,5.08
1141.11,450.20,1035.16,4.65,-19.06,29.34
1999.94,697.27,1999.94,13.19,-12.50,23.13
728.03,376.95,194.82,3.77,-13.83,35.95
999.02,510.25,740.72,4.85,-2.70,24.55
1059.57,1148.44,806.15,21.76,-1.56,10.53
883.30,-213.87,124.51,-1.34,14.76,-6.66
932.13,115.72,338.87,-13.99,-6.12,3.69
