1157.23,-1392.09,208.50,-31.44,-17.26,-42.95
1019.53,347.66,-203.61,-15.21,-18.51,-14.40
873.54,549.80,234.86,-36.05,-24.76,-7.71
896.97,-112.79,-155.76,-24.07,-33.07,1.60
917.48,-366.70,-342.29,-48.59,-43.37,25.05
563.48,-629.88,-365.72,-9.67,-29.26,43.97
494.63,247.07,-327.64,8.31,-33.50,37.74
127.93,-999.02,-704.59,38.92,-27.24,37.27
1202.15,552.73,845.21,33.18,-2.29,35.28
148.93,136.72,-795.41,31.90,2.03,11.21
713.87,-168.46,253.91,-1.17,-4.03,2.97
941.89,-315.43,287.60,-4.11,22.69,-16.18
954.10,85.94,378.42,-10.18,8.53,-2.13
940.43,130.37,434.08,-30.71,-17.89,20.69
1226.56,-73.73,787.11,-18.63,-3.23,18.19
970.21,199.22,348.63,-28.23,98.21,-1.28
